,مصارفات روزانه دفتر  و تعمیرللندر 4,,,,,,,
"$697,308.7",$23.6,63.6,,"AFN 1,500",خریداری تیل دیزل برای جنراتور تعمیر للندر 4,7-May-26,571.9275862,
"$697,585.4",$276.7,63.6,,"AFN 17,600","پرداخت برای خورده فروشی خوشتی بابت خریداری سیم جستی, دست کش و پرداه به تعمیر للندر 4",7-May-26,573.0770115,
"$698,989.4","$1,404.0",63.6,"$1,404.00",,خریداری برای شرکت مواد ساختمانی فراز آژمان بابت خریداری کاک سقفی به تعمیر للندر 4,7-May-26,574.2264368,
"$698,994.1",$4.7,63.6,,AFN 300,خریداری تیل پطرول به ویبراتور های تعمیر للندر 4,9-May-26,575.3758621,
"$698,996.5",$2.4,63.6,,AFN 150,خریداری مبلایل به جنراتور تعمیر للندر 4,9-May-26,576.5252874,
"$698,998.8",$2.4,63.6,,AFN 150,خریداری گازکیت و فیس به تعمیر للندر 4,9-May-26,577.6747126,
"$699,000.4",$1.6,63.6,,AFN 100,خریداری پمپ به تعمیر للندر 4,10-May-26,578.8241379,
"$699,020.8",$20.4,63.6,,"AFN 1,300","خریداری رنگ, پشتم, گازکیت, فیس و غیره به تعمیر للندر 4",10-May-26,579.9735632,
"$699,044.4",$23.6,63.6,,"AFN 1,500",خریداری تیل دیزل برای جنراتور به تعمیر للندر 4,12-May-26,581.1229885,
"$699,048.4",$3.9,63.6,,AFN 250,خریداری کارت موبایل به تعمیر للندر 4,13-May-26,582.2724138,
"$699,446.4",$398.0,63.6,,"AFN 25,313",پرداخت صفایی زمین تعمیر للندر 4,11-May-26,583.4218391,
"$699,477.8",$31.4,63.6,,"AFN 2,000",پیش پرداخت برای مهراج الدین ولد دادالله بابت ماه ثور سال 1405,11-May-26,584.5712644,
"$700,264.0",$786.2,63.6,,"AFN 50,000",پرداخت برای گلبدین بابت سیم تابی و قالبکاری تعمیر للندر 4,11-May-26,585.7206897,
"$700,267.1",$3.1,63.6,,AFN 200,خریداری عدس و کشمش پلوی بابت تعمیر للندر 4 ,14-May-26,586.8701149,
"$700,282.8",$15.7,63.6,,"AFN 1,000",خریداری گاز بابت تعمیر للندر 4 ,14-May-26,588.0195402,
"$700,289.3",$6.4,63.6,,AFN 410,"خریداری خلال, کشمش, نمک, بریانی بابت تعمیر للندر 4 ",14-May-26,589.1689655,
"$700,303.4",$14.2,63.6,,AFN 900,خریداری گوشت مرغ بابت تعمیر للندر 4 ,14-May-26,590.3183908,
"$700,447.1",$143.6,63.6,,"AFN 9,135",نصب خوازه طرف شرکت افغان بیسیم بخاطر پرده از تاریخ 23 دلو 1404 الی 23 ثور 1405 ,14-May-26,591.4678161,
"$700,478.5",$31.4,63.6,,"AFN 2,000",خریداری تیل به جنراتور تعمیر للندر 4 ,14-May-26,592.6172414,
"$700,734.0",$255.5,63.6,,"AFN 16,250","پرداخت برای خورده فرشی خوست بابت خریداری سیم 1.5 میلی, آبگرمی, سیم جستی به تعمیر للندر 4",14-May-26,593.7666667,
"$702,306.3","$1,572.3",63.6,,"AFN 100,000",پرداخت برای گلبدین بابت سیم تابی و قالبکاری تعمیر للندر 4,14-May-26,594.916092,
"$702,337.8",$31.4,63.6,,"AFN 2,000",پرداخت برای سیف الله ولد رفیح الله  تعمیر للندر 4,14-May-26,596.0655172,
"$702,385.0",$47.2,63.6,,"AFN 3,000",پرذاخت برای انجنیر محمد شریف بابت پایپ کشی هواکش ها از تهکوی به منزل اول سکشن تعمیرللندر 4  B  ,14-May-26,597.2149425,
"$707,385.0","$5,000.0",63.6,"$5,000.00",,پرداخت برای شرکت کانکریت ریزی افغان پلانت برای تعمیر للندر 4,14-May-26,598.3643678,
"$707,485.0",$100.0,63.6,,"AFN 6,360",پیش پرداخت برای محمد سفر ولد محمد باقر بابت ماه ثور 1405,16-May-26,599.5137931,
"$707,524.3",$39.3,63.6,,"AFN 2,500",پیش پرداخت برای فرید للندر بابت ماه ثور 1405,16-May-26,600.6632184,
"$707,568.3",$44.0,63.6,,"AFN 2,800",خریداری تیل پطرول به موتر کرولای نقریی به تعمیر للندر 4 ,16-May-26,601.8126437,
"$707,574.6",$6.3,63.6,,AFN 400,خریداری تیل پطرول به ویبراتور های تعمیر للندر 4 ,16-May-26,602.962069,
"$707,599.7",$25.2,63.6,,"AFN 1,600",خریداری ورق A-85 برای  تعمیر للندر 4 ,16-May-26,604.1114943,
"$707,606.2",$6.4,63.6,,AFN 410,پیش پرداخت برای صفی الله ولد رفیح الله بابت ماه ثور 1405,16-May-26,605.2609195,
"$712,606.2","$5,000.0",63.6,"$5,000.00",,پرداخت برای آغا مهدی و تصفیه حساب مکمل توسط چک نمبر 2425 از صرافی خانی,16-May-26,606.4103448,
"$712,657.6",$51.4,63.6,,"AFN 3,268",پرداخت برق میتر تعمیر للندر 4 بابت ماه حمل 1405,17-May-26,607.5597701,
"$712,846.2",$188.7,63.6,,"AFN 12,000",پیش پرداخت برای مغراج الدین ولد دادالله بابت ماه ثور سال 1405,17-May-26,608.7091954,
"$712,897.6",$51.4,63.6,,"AFN 3,268",خریداری تیل دیزل به جنراتور تعمیر للندر 4 ,18-May-26,609.8586207,
"$712,910.2",$12.6,63.6,,AFN 800,"خریداری فیس, شرش, پیکن و مبلایل به تعمیر للندر 4 ",18-May-26,611.008046,
"$712,950.1",$39.9,63.6,,"AFN 2,540",خریداری مبلایل به جنراتور تعمیر للندر 4 ,18-May-26,612.1574713,
"$712,957.5",$7.4,63.6,,AFN 470,خریداری پرزه جات به جنراتور تعمیر للندر 4 ,18-May-26,613.3068966,
"$716,332.5","$3,375.0",63.6,"$3,375.00",,پرداخت برای شرکت فراز آژمان بابت خریدرای کاک سقفی به تعمیر للندر 4 ,18-May-26,614.4563218,
"$716,356.1",$23.6,63.6,,"AFN 1,500",خریدرای تیل دیزل به جنراتور تعمیر للندر 4 ,19-May-26,615.6057471,
"$716,357.4",$1.3,63.6,,AFN 80,خریدرای دست کش به جنراتور تعمیر للندر 4 ,19-May-26,616.7551724,
"$716,396.7",$39.3,63.6,,"AFN 2,500",خریدرای تیل پطرول به موتر فرونر به تعمیر للندر 4 ,19-May-26,617.9045977,
"$716,412.6",$15.9,63.6,,"AFN 1,010","خریدرای نمک, بریانی, مرغ به تعمیر للندر 4 ",19-May-26,619.054023,
"$716,722.0",$309.4,63.6,,"AFN 19,680",پرداخت برای گلبدین بابت سیم تابی و قالبکاری تعمیر للندر 4 ,19-May-26,620.2034483,
"$716,728.3",$6.3,63.6,,AFN 400,پرداخت برای خریداری کارت مبایل برای احمد فرید للندر,20-May-26,621.3528736,
"$716,736.2",$7.9,63.57,,AFN 500,خریداری بادنجان سیاه و رومی برای تعمیر للندر 4 ,20-May-26,,
"$716,738.0",$1.9,63.57,,AFN 120,خریداری کچالو برای تعمیر للندر 4 ,20-May-26,,
"$716,753.8",$15.7,63.57,,"AFN 1,000",خریداری گاز به آشپزخانه تعمیر للندر 4 ,20-May-26,,
"$716,767.1",$13.4,63.57,,AFN 850,"خریداری مبلایل, واشل و غیره به تعمیر للندر 4 ",20-May-26,,
"$716,797.6",$30.4,63.6,,"AFN 1,935",پرداخت معاش عبدالله متین ولد نیک محمد بابت ماه ثور سال 1405,21-May-26,622.5022989,
"$716,809.4",$11.8,63.6,,AFN 750,خریداری مرغ به تعمیر للندر 4 ,21-May-26,,
"$716,812.5",$3.1,63.6,,AFN 200,"خریداری بریانی, بادنجان رومی, مرچ, سیر و زرد چوبه به تعمیر للندر 4 ",21-May-26,,
"$717,812.5","$1,000.0",63.72,"$1,000.00",,پرداخت برای شرکت کانکریت ریزی افغان پلانت برای تعمیر للندر 4 پرداخت هذا توسط جاوید سکندری صورت گرفته است   گیرنده پول سیرت,23-May-26,623.6517241,
"$722,812.5","$5,000.0",63.72,"$5,000.00",,پرداخت برای شرکت کانکریت ریزی افغان پلانت برای تعمیر للندر 4 پرداخت هذا توسط جاوید سکندری صورت گرفته است   گیرنده پول عبیدالله,23-May-26,624.8011494,
"$722,835.3",$22.8,63.72,,"AFN 1,450",خریداری مبلایل و فلتر به کرولای تقره یی به تعمیر للندر 4,23-May-26,625.9505747,
#DIV/0!,#DIV/0!,,,,,,627.1,
#DIV/0!,#DIV/0!,,,,,,628.2494253,
#DIV/0!,#DIV/0!,,,,,,629.3988506,
#DIV/0!,#DIV/0!,,,,,,630.5482759,
#DIV/0!,#DIV/0!,,,,,,631.6977011,
#DIV/0!,#DIV/0!,,,,,,632.8471264,
#DIV/0!,#DIV/0!,,,,,,633.9965517,
#DIV/0!,#DIV/0!,,,,,,635.145977,
#DIV/0!,#DIV/0!,,,,,,636.2954023,
#DIV/0!,#DIV/0!,,,,,,637.4448276,
#DIV/0!,#DIV/0!,,,,,,638.5942529,
#DIV/0!,#DIV/0!,,,,,,639.7436782,
#DIV/0!,#DIV/0!,,,,,,640.8931034,
#DIV/0!,#DIV/0!,,,,,,642.0425287,
#DIV/0!,#DIV/0!,,,,,,643.191954,
#DIV/0!,#DIV/0!,,,,,,644.3413793,
#DIV/0!,#DIV/0!,,,,,,645.4908046,
#DIV/0!,#DIV/0!,,,,,,646.6402299,
#DIV/0!,#DIV/0!,,,,,,647.7896552,
#DIV/0!,#DIV/0!,,,,,,648.9390805,
#DIV/0!,#DIV/0!,,,,,,650.0885057,
#DIV/0!,#DIV/0!,,,,,,651.237931,
#DIV/0!,#DIV/0!,,,,,,652.3873563,
#DIV/0!,#DIV/0!,,,,,,653.5367816,
#DIV/0!,#DIV/0!,,,,,,654.6862069,
#DIV/0!,#DIV/0!,,,,,,655.8356322,
#DIV/0!,#DIV/0!,,,,,,656.9850575,
#DIV/0!,#DIV/0!,,,,,,658.1344828,
#DIV/0!,#DIV/0!,,,,,,659.283908,
#DIV/0!,#DIV/0!,,,,,,660.4333333,
#DIV/0!,#DIV/0!,,,,,,661.5827586,
#DIV/0!,#DIV/0!,,,,,,662.7321839,
#DIV/0!,#DIV/0!,,,,,,663.8816092,
#DIV/0!,#DIV/0!,,,,,,665.0310345,
#DIV/0!,#DIV/0!,,,,,,666.1804598,
#DIV/0!,#DIV/0!,,,,,,667.3298851,
#DIV/0!,#DIV/0!,,,,,,668.4793103,
#DIV/0!,#DIV/0!,,,,,,669.6287356,
#DIV/0!,#DIV/0!,,,,,,670.7781609,
#DIV/0!,#DIV/0!,,,,,,671.9275862,
#DIV/0!,#DIV/0!,,,,,,673.0770115,
#DIV/0!,#DIV/0!,,,,,,674.2264368,
#DIV/0!,#DIV/0!,,,,,,675.3758621,
#DIV/0!,#DIV/0!,,,,,,676.5252874,
#DIV/0!,#DIV/0!,,,,,,677.6747126,
#DIV/0!,#DIV/0!,,,,,,678.8241379,
#DIV/0!,#DIV/0!,,,,,,679.9735632,
#DIV/0!,#DIV/0!,,,,,,681.1229885,
#DIV/0!,#DIV/0!,,,,,,682.2724138,
#DIV/0!,#DIV/0!,,,,,,683.4218391,
#DIV/0!,#DIV/0!,,,,,,684.5712644,
#DIV/0!,#DIV/0!,,,,,,685.7206897,
#DIV/0!,#DIV/0!,,,,,,686.8701149,
#DIV/0!,#DIV/0!,,,,,,688.0195402,
#DIV/0!,#DIV/0!,,,,,,689.1689655,
#DIV/0!,#DIV/0!,,,,,,690.3183908,
#DIV/0!,#DIV/0!,,,,,,691.4678161,
#DIV/0!,#DIV/0!,,,,,,692.6172414,
#DIV/0!,#DIV/0!,,,,,,693.7666667,
#DIV/0!,#DIV/0!,,,,,,694.916092,
#DIV/0!,#DIV/0!,,,,,,696.0655172,
#DIV/0!,#DIV/0!,,,,,,697.2149425,
#DIV/0!,#DIV/0!,,,,,,698.3643678,
#DIV/0!,#DIV/0!,,,,,,699.5137931,
#DIV/0!,#DIV/0!,,,,,,700.6632184,
#DIV/0!,#DIV/0!,,,,,,701.8126437,
#DIV/0!,#DIV/0!,,,,,,702.962069,
#DIV/0!,#DIV/0!,,,,,,704.1114943,
#DIV/0!,#DIV/0!,,,,,,705.2609195,
#DIV/0!,#DIV/0!,,,,,,706.4103448,
#DIV/0!,#DIV/0!,,,,,,707.5597701,
#DIV/0!,#DIV/0!,,,,,,708.7091954,
#DIV/0!,#DIV/0!,,,,,,709.8586207,
#DIV/0!,#DIV/0!,,,,,,711.008046,
#DIV/0!,#DIV/0!,,,,,,712.1574713,
#DIV/0!,#DIV/0!,,,,,,713.3068966,
#DIV/0!,#DIV/0!,,,,,,714.4563218,
#DIV/0!,#DIV/0!,,,,,,715.6057471,
#DIV/0!,#DIV/0!,,,,,,716.7551724,
#DIV/0!,#DIV/0!,,,,,,717.9045977,
#DIV/0!,#DIV/0!,,,,,,719.054023,
#DIV/0!,#DIV/0!,,,,,,720.2034483,
#DIV/0!,#DIV/0!,,,,,,721.3528736,
#DIV/0!,#DIV/0!,,,,,,722.5022989,
#DIV/0!,#DIV/0!,,,,,,723.6517241,
#DIV/0!,#DIV/0!,,,,,,724.8011494,
#DIV/0!,#DIV/0!,,,,,,725.9505747,
#DIV/0!,#DIV/0!,,,,,,727.1,
#DIV/0!,#DIV/0!,,,,,,728.2494253,
#DIV/0!,#DIV/0!,,,,,,729.3988506,
#DIV/0!,#DIV/0!,,,,,,730.5482759,
#DIV/0!,#DIV/0!,,,,,,731.6977011,
#DIV/0!,#DIV/0!,,,,,,732.8471264,
#DIV/0!,#DIV/0!,,,,,,733.9965517,
#DIV/0!,#DIV/0!,,,,,,735.145977,
#DIV/0!,#DIV/0!,,,,,,736.2954023,
#DIV/0!,#DIV/0!,,,,,,737.4448276,
#DIV/0!,#DIV/0!,,,,,,738.5942529,
#DIV/0!,#DIV/0!,,,,,,739.7436782,
#DIV/0!,#DIV/0!,,,,,,740.8931034,
#DIV/0!,#DIV/0!,,,,,,742.0425287,
#DIV/0!,#DIV/0!,,,,,,743.191954,
#DIV/0!,#DIV/0!,,,,,,744.3413793,
#DIV/0!,#DIV/0!,,,,,,745.4908046,
#DIV/0!,#DIV/0!,,,,,,746.6402299,
#DIV/0!,#DIV/0!,,,,,,747.7896552,
#DIV/0!,#DIV/0!,,,,,,748.9390805,
#DIV/0!,#DIV/0!,,,,,,750.0885057,
#DIV/0!,#DIV/0!,,,,,,751.237931,
#DIV/0!,#DIV/0!,,,,,,752.3873563,
#DIV/0!,#DIV/0!,,,,,,753.5367816,
#DIV/0!,#DIV/0!,,,,,,754.6862069,
#DIV/0!,#DIV/0!,,,,,,755.8356322,
#DIV/0!,#DIV/0!,,,,,,756.9850575,
#DIV/0!,#DIV/0!,,,,,,758.1344828,
#DIV/0!,#DIV/0!,,,,,,759.283908,
#DIV/0!,#DIV/0!,,,,,,760.4333333,
#DIV/0!,#DIV/0!,,,,,,761.5827586,
#DIV/0!,#DIV/0!,,,,,,762.7321839,
#DIV/0!,#DIV/0!,,,,,,763.8816092,
#DIV/0!,#DIV/0!,,,,,,765.0310345,
#DIV/0!,#DIV/0!,,,,,,766.1804598,
#DIV/0!,#DIV/0!,,,,,,767.3298851,
#DIV/0!,#DIV/0!,,,,,,768.4793103,
#DIV/0!,#DIV/0!,,,,,,769.6287356,
#DIV/0!,#DIV/0!,,,,,,770.7781609,
#DIV/0!,#DIV/0!,,,,,,771.9275862,
#DIV/0!,#DIV/0!,,,,,,773.0770115,
#DIV/0!,#DIV/0!,,,,,,774.2264368,
#DIV/0!,#DIV/0!,,,,,,775.3758621,
#DIV/0!,#DIV/0!,,,,,,776.5252874,
#DIV/0!,#DIV/0!,,,,,,777.6747126,
#DIV/0!,#DIV/0!,,,,,,778.8241379,
#DIV/0!,#DIV/0!,,,,,,779.9735632,
#DIV/0!,#DIV/0!,,,,,,781.1229885,
#DIV/0!,#DIV/0!,,,,,,782.2724138,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
#DIV/0!,#DIV/0!,,,,,,,
